NOC,Year,Sport,Medal,One_sum
France,1928,Athletics,No medal,68
France,1928,Boxing,Silver,1
France,1928,Boxing,No medal,7
France,1928,Cycling,Gold,1
France,1928,Cycling,No medal,15
France,1928,Aquatics,No medal,5
France,1928,Equestrian,Silver,2
France,1928,Equestrian,No medal,16
France,1928,Fencing,Gold,2
France,1928,Fencing,Silver,13
France,1928,Fencing,No medal,15
France,1928,Football,No medal,11
France,1928,Gymnastics,No medal,65
France,1928,Field hockey,No medal,15
France,1928,Modern Pentathlon,No medal,3
France,1928,Rowing,Silver,3
France,1928,Rowing,No medal,23
France,1928,Sailing,Gold,6
France,1928,Sailing,No medal,7
France,1928,Aquatics,No medal,21
France,1928,Aquatics,Bronze,9
France,1928,Weightlifting,Gold,1
France,1928,Weightlifting,Silver,1
France,1928,Weightlifting,Bronze,1
France,1928,Weightlifting,No medal,7
France,1928,Wrestling,Silver,1
France,1928,Wrestling,Bronze,2
France,1928,Wrestling,No medal,10
Germany,1928,Athletics,Gold,1
Germany,1928,Athletics,Silver,8
Germany,1928,Athletics,Bronze,9
Germany,1928,Athletics,No medal,55
Germany,1928,Boxing,Silver,1
Germany,1928,Boxing,No medal,7
Germany,1928,Cycling,Bronze,2
Germany,1928,Cycling,No medal,10
Germany,1928,Aquatics,No medal,11
Germany,1928,Equestrian,Gold,4
Germany,1928,Equestrian,Bronze,1
Germany,1928,Equestrian,No medal,13
Germany,1928,Fencing,Gold,1
Germany,1928,Fencing,Silver,1
Germany,1928,Fencing,Bronze,1
Germany,1928,Fencing,No medal,23
Germany,1928,Football,No medal,11
Germany,1928,Field hockey,Bronze,19
Germany,1928,Modern Pentathlon,Bronze,1
Germany,1928,Modern Pentathlon,No medal,2
Germany,1928,Rowing,Gold,2
Germany,1928,Rowing,No medal,21
Germany,1928,Sailing,No medal,6
Germany,1928,Aquatics,Gold,1
Germany,1928,Aquatics,Silver,1
Germany,1928,Aquatics,Bronze,1
Germany,1928,Aquatics,No medal,26
Germany,1928,Aquatics,Gold,8
Germany,1928,Weightlifting,Gold,2
Germany,1928,Weightlifting,Bronze,1
Germany,1928,Weightlifting,No medal,7
Germany,1928,Wrestling,Gold,1
Germany,1928,Wrestling,Silver,2
Germany,1928,Wrestling,Bronze,1
Germany,1928,Wrestling,No medal,2
Great Britain,1928,Athletics,Gold,2
Great Britain,1928,Athletics,Silver,2
Great Britain,1928,Athletics,Bronze,4
Great Britain,1928,Athletics,No medal,57
Great Britain,1928,Boxing,No medal,8
Great Britain,1928,Cycling,Silver,7
Great Britain,1928,Cycling,Bronze,4
Great Britain,1928,Cycling,No medal,5
Great Britain,1928,Aquatics,No medal,7
Great Britain,1928,Fencing,Silver,1
Great Britain,1928,Fencing,No medal,27
Great Britain,1928,Gymnastics,Bronze,12
Great Britain,1928,Gymnastics,No medal,54
Great Britain,1928,Modern Pentathlon,No medal,3
Great Britain,1928,Rowing,Gold,4
Great Britain,1928,Rowing,Silver,11
Great Britain,1928,Rowing,Bronze,1
Great Britain,1928,Rowing,No medal,7
Great Britain,1928,Sailing,No medal,8
Great Britain,1928,Aquatics,Silver,5
Great Britain,1928,Aquatics,Bronze,2
Great Britain,1928,Aquatics,No medal,21
Great Britain,1928,Aquatics,No medal,9
Great Britain,1928,Weightlifting,No medal,5
Great Britain,1928,Wrestling,Bronze,1
Great Britain,1928,Wrestling,No medal,5
Greece,1928,Athletics,No medal,29
Greece,1928,Boxing,No medal,2
Greece,1928,Fencing,No medal,13
Greece,1928,Wrestling,No medal,3
Haiti,1928,Athletics,Silver,1
Haiti,1928,Athletics,No medal,2
Hungary,1928,Athletics,Silver,1
Hungary,1928,Athletics,No medal,34
Hungary,1928,Boxing,Gold,1
Hungary,1928,Boxing,No medal,3
Hungary,1928,Equestrian,No medal,12
Hungary,1928,Fencing,Gold,7
Hungary,1928,Fencing,Silver,1
Hungary,1928,Fencing,No medal,21
Hungary,1928,Gymnastics,No medal,63
Hungary,1928,Modern Pentathlon,No medal,1
Hungary,1928,Rowing,No medal,6
Hungary,1928,Sailing,No medal,6
Hungary,1928,Aquatics,Silver,1
Hungary,1928,Aquatics,No medal,11
Hungary,1928,Aquatics,Silver,7
Hungary,1928,Wrestling,Gold,1
Hungary,1928,Wrestling,Silver,1
Hungary,1928,Wrestling,No medal,4
India,1928,Athletics,No medal,10
India,1928,Field hockey,Gold,14
Ireland,1928,Athletics,Gold,1
Ireland,1928,Athletics,No medal,11
Ireland,1928,Boxing,No medal,8
Ireland,1928,Cycling,No medal,3
Ireland,1928,Aquatics,No medal,2
Ireland,1928,Aquatics,No medal,7
Italy,1928,Athletics,No medal,37
Italy,1928,Boxing,Gold,3
Italy,1928,Boxing,Bronze,1
Italy,1928,Boxing,No medal,3
Italy,1928,Cycling,Gold,4
Italy,1928,Cycling,No medal,12
Italy,1928,Aquatics,No medal,3
Italy,1928,Equestrian,No medal,12
Italy,1928,Fencing,Gold,12
Italy,1928,Fencing,Silver,6
Italy,1928,Fencing,Bronze,2
Italy,1928,Fencing,No medal,4
Italy,1928,Football,Bronze,17
Italy,1928,Gymnastics,Silver,13
Italy,1928,Gymnastics,No medal,55
Italy,1928,Modern Pentathlon,No medal,3
Italy,1928,Rowing,Gold,5
Italy,1928,Rowing,Bronze,4
Italy,1928,Rowing,No medal,17
Italy,1928,Sailing,No medal,12
Italy,1928,Aquatics,No medal,9
Italy,1928,Weightlifting,Silver,2
Italy,1928,Weightlifting,No medal,4
Italy,1928,Wrestling,Bronze,2
Italy,1928,Wrestling,No medal,3
Japan,1928,Athletics,Gold,1
Japan,1928,Athletics,Silver,1
Japan,1928,Athletics,No medal,24
Japan,1928,Boxing,No medal,2
Japan,1928,Aquatics,No medal,1
Japan,1928,Equestrian,No medal,4
Japan,1928,Rowing,No medal,6
Japan,1928,Aquatics,Gold,1
Japan,1928,Aquatics,Silver,5
Japan,1928,Aquatics,Bronze,1
Japan,1928,Aquatics,No medal,9
Japan,1928,Wrestling,No medal,1
Latvia,1928,Athletics,No medal,7
Latvia,1928,Cycling,No medal,5
Latvia,1928,Sailing,No medal,1
Latvia,1928,Weightlifting,No medal,1
Latvia,1928,Wrestling,No medal,2
Lithuania,1928,Athletics,No medal,6
Lithuania,1928,Boxing,No medal,2
Lithuania,1928,Cycling,No medal,4
Lithuania,1928,Weightlifting,No medal,1
Luxembourg,1928,Athletics,No medal,6
Luxembourg,1928,Boxing,No medal,5
Luxembourg,1928,Cycling,No medal,7
Luxembourg,1928,Football,No medal,11
Luxembourg,1928,Gymnastics,No medal,56
Luxembourg,1928,Aquatics,No medal,3
Luxembourg,1928,Aquatics,No medal,7
Luxembourg,1928,Weightlifting,No medal,3
Luxembourg,1928,Wrestling,No medal,3
Malta,1928,Aquatics,No medal,9
Mexico,1928,Athletics,No medal,21
Mexico,1928,Boxing,No medal,4
Mexico,1928,Aquatics,No medal,1
Mexico,1928,Fencing,No medal,2
Mexico,1928,Football,No medal,11
Monaco,1928,Athletics,No medal,2
Monaco,1928,Rowing,No medal,5
Monaco,1928,Sailing,No medal,1
Netherlands,1928,Athletics,Silver,1
Netherlands,1928,Athletics,No medal,64
Netherlands,1928,Boxing,Gold,1
Netherlands,1928,Boxing,Bronze,1
Netherlands,1928,Boxing,No medal,4
Netherlands,1928,Cycling,Gold,2
Netherlands,1928,Cycling,Silver,7
Netherlands,1928,Cycling,No medal,7
Netherlands,1928,Aquatics,No medal,10
Netherlands,1928,Equestrian,Gold,4
Netherlands,1928,Equestrian,Silver,1
Netherlands,1928,Equestrian,Bronze,3
Netherlands,1928,Equestrian,No medal,10
Netherlands,1928,Fencing,No medal,30
Netherlands,1928,Football,No medal,11
Netherlands,1928,Gymnastics,Gold,10
Netherlands,1928,Gymnastics,No medal,56
Netherlands,1928,Field hockey,Silver,11
Netherlands,1928,Modern Pentathlon,No medal,3
Netherlands,1928,Rowing,No medal,21
Netherlands,1928,Sailing,Silver,6
Netherlands,1928,Sailing,No medal,6
Netherlands,1928,Aquatics,Gold,1
Netherlands,1928,Aquatics,Silver,2
Netherlands,1928,Aquatics,No medal,16
Netherlands,1928,Aquatics,No medal,9
Netherlands,1928,Weightlifting,Bronze,2
Netherlands,1928,Weightlifting,No medal,8
Netherlands,1928,Wrestling,No medal,6
New Zealand,1928,Athletics,No medal,4
New Zealand,1928,Boxing,Gold,1
New Zealand,1928,Boxing,No medal,1
New Zealand,1928,Aquatics,No medal,7
Norway,1928,Athletics,Bronze,1
Norway,1928,Athletics,No medal,15
Norway,1928,Boxing,No medal,5
Norway,1928,Cycling,No medal,4
Norway,1928,Equestrian,Silver,3
Norway,1928,Equestrian,No medal,10
Norway,1928,Fencing,No medal,15
Norway,1928,Sailing,Gold,4
Norway,1928,Sailing,Silver,1
Norway,1928,Sailing,No medal,4
Norway,1928,Aquatics,No medal,1
Norway,1928,Wrestling,No medal,7
Panama,1928,Aquatics,No medal,2
Philippines,1928,Athletics,No medal,3
Philippines,1928,Aquatics,Bronze,1
Philippines,1928,Aquatics,No medal,2
Poland,1928,Athletics,Gold,1
Poland,1928,Athletics,No medal,19
Poland,1928,Boxing,No medal,4
Poland,1928,Cycling,No medal,16
Poland,1928,Equestrian,Silver,3
Poland,1928,Equestrian,Bronze,3
Poland,1928,Equestrian,No medal,6
Poland,1928,Fencing,Bronze,6
Poland,1928,Fencing,No medal,1
Poland,1928,Modern Pentathlon,No medal,3
Poland,1928,Rowing,Bronze,5
Poland,1928,Rowing,No medal,9
Poland,1928,Sailing,No medal,2
Poland,1928,Aquatics,No medal,2
Poland,1928,Wrestling,No medal,4
Portugal,1928,Athletics,No medal,4
Portugal,1928,Equestrian,No medal,6
Portugal,1928,Fencing,Bronze,6
Portugal,1928,Fencing,No medal,4
Portugal,1928,Football,No medal,12
Portugal,1928,Modern Pentathlon,No medal,1
Portugal,1928,Sailing,No medal,4
Portugal,1928,Weightlifting,No medal,1
Portugal,1928,Wrestling,No medal,1
Romania,1928,Athletics,No medal,16
Romania,1928,Fencing,No medal,17
South Africa,1928,Athletics,Gold,1
South Africa,1928,Athletics,No medal,19
South Africa,1928,Boxing,Bronze,1
South Africa,1928,Boxing,No medal,5
South Africa,1928,Cycling,No medal,1
South Africa,1928,Rowing,No medal,1
South Africa,1928,Sailing,No medal,1
South Africa,1928,Aquatics,Bronze,4
South Africa,1928,Aquatics,No medal,6
South Africa,1928,Wrestling,No medal,1
Spain,1928,Athletics,No medal,18
Spain,1928,Boxing,No medal,6
Spain,1928,Cycling,No medal,1
Spain,1928,Equestrian,Gold,3
Spain,1928,Equestrian,No medal,9
Spain,1928,Fencing,No medal,18
Spain,1928,Football,No medal,17
Spain,1928,Field hockey,No medal,15
Spain,1928,Sailing,No medal,6
Spain,1928,Aquatics,No medal,6
Spain,1928,Aquatics,No medal,7
Sweden,1928,Athletics,Gold,1
Sweden,1928,Athletics,Silver,2
Sweden,1928,Athletics,Bronze,4
Sweden,1928,Athletics,No medal,39
Sweden,1928,Boxing,Silver,1
Sweden,1928,Boxing,Bronze,1
Sweden,1928,Boxing,No medal,6
Sweden,1928,Cycling,Bronze,5
Sweden,1928,Cycling,No medal,3
Sweden,1928,Aquatics,Bronze,1
Sweden,1928,Aquatics,No medal,7
Sweden,1928,Equestrian,Silver,3
Sweden,1928,Equestrian,Bronze,4
Sweden,1928,Equestrian,No medal,11
Sweden,1928,Fencing,No medal,12
Sweden,1928,Modern Pentathlon,Gold,1
Sweden,1928,Modern Pentathlon,Silver,1
Sweden,1928,Modern Pentathlon,No medal,1
Sweden,1928,Sailing,Gold,1
Sweden,1928,Sailing,Bronze,6
Sweden,1928,Sailing,No medal,4
Sweden,1928,Aquatics,Gold,1
Sweden,1928,Aquatics,Bronze,1
Sweden,1928,Aquatics,No medal,12
Sweden,1928,Weightlifting,No medal,2
Sweden,1928,Wrestling,Gold,3
Sweden,1928,Wrestling,Silver,1
Sweden,1928,Wrestling,No medal,5
Switzerland,1928,Athletics,No medal,16
Switzerland,1928,Cycling,No medal,13
Switzerland,1928,Aquatics,No medal,1
Switzerland,1928,Equestrian,Bronze,1
Switzerland,1928,Equestrian,No medal,17
Switzerland,1928,Fencing,No medal,19
Switzerland,1928,Football,No medal,11
Switzerland,1928,Gymnastics,Gold,12
Switzerland,1928,Gymnastics,Silver,2
Switzerland,1928,Gymnastics,Bronze,2
Switzerland,1928,Gymnastics,No medal,40
Switzerland,1928,Field hockey,No medal,16
Switzerland,1928,Rowing,Gold,3
Switzerland,1928,Rowing,Silver,5
Switzerland,1928,Rowing,No medal,5
Switzerland,1928,Sailing,No medal,1
Switzerland,1928,Aquatics,No medal,1
Switzerland,1928,Aquatics,No medal,7
Switzerland,1928,Weightlifting,No medal,10
Switzerland,1928,Wrestling,Gold,1
Switzerland,1928,Wrestling,Silver,1
Switzerland,1928,Wrestling,Bronze,1
Switzerland,1928,Wrestling,No medal,8
Turkey,1928,Athletics,No medal,9
Turkey,1928,Cycling,No medal,6
Turkey,1928,Fencing,No medal,7
Turkey,1928,Football,No medal,11
Turkey,1928,Weightlifting,No medal,1
Turkey,1928,Wrestling,No medal,6
United States,1928,Athletics,Gold,15
United States,1928,Athletics,Silver,11
United States,1928,Athletics,Bronze,8
United States,1928,Athletics,No medal,74
United States,1928,Boxing,Silver,2
United States,1928,Boxing,Bronze,1
United States,1928,Boxing,No medal,5
United States,1928,Cycling,No medal,7
United States,1928,Aquatics,Gold,4
United States,1928,Aquatics,Silver,3
United States,1928,Aquatics,Bronze,2
United States,1928,Aquatics,No medal,3
United States,1928,Equestrian,No medal,12
United States,1928,Fencing,Bronze,1
United States,1928,Fencing,No medal,27
United States,1928,Football,No medal,11
United States,1928,Gymnastics,No medal,56
United States,1928,Modern Pentathlon,No medal,3
United States,1928,Rowing,Gold,11
United States,1928,Rowing,Silver,5
United States,1928,Rowing,Bronze,2
United States,1928,Rowing,No medal,8
United States,1928,Sailing,No medal,11
United States,1928,Aquatics,Gold,16
United States,1928,Aquatics,Silver,2
United States,1928,Aquatics,Bronze,3
United States,1928,Aquatics,No medal,16
United States,1928,Aquatics,No medal,9
United States,1928,Wrestling,Gold,1
United States,1928,Wrestling,Silver,1
United States,1928,Wrestling,No medal,5
Uruguay,1928,Football,Gold,17
Yugoslavia,1928,Athletics,No medal,4
Yugoslavia,1928,Cycling,No medal,8
Yugoslavia,1928,Fencing,No medal,2
Yugoslavia,1928,Football,No medal,11
Yugoslavia,1928,Gymnastics,Gold,1
Yugoslavia,1928,Gymnastics,Silver,1
Yugoslavia,1928,Gymnastics,Bronze,10
Yugoslavia,1928,Gymnastics,No medal,44
Yugoslavia,1928,Wrestling,No medal,5
Zimbabwe,1928,Boxing,No medal,2
Argentina,1932,Athletics,Gold,1
Argentina,1932,Athletics,No medal,17
Argentina,1932,Boxing,Gold,2
Argentina,1932,Boxing,Silver,1
Argentina,1932,Boxing,No medal,5
Argentina,1932,Fencing,No medal,9
Argentina,1932,Shooting,No medal,2
Argentina,1932,Aquatics,No medal,7
Argentina,1932,Weightlifting,No medal,1
Australia,1932,Athletics,No medal,5
Australia,1932,Cycling,Gold,1
Australia,1932,Cycling,No medal,1
Australia,1932,Rowing,Gold,1
Australia,1932,Aquatics,Gold,1
Australia,1932,Aquatics,Silver,1
Australia,1932,Aquatics,No medal,7
Australia,1932,Wrestling,Bronze,1
Austria,1932,Athletics,No medal,2
Austria,1932,Aquatics,No medal,4
Austria,1932,Fencing,Gold,1
Austria,1932,Sailing,No medal,1
Austria,1932,Weightlifting,Silver,1
Austria,1932,Weightlifting,Bronze,1
Austria,1932,Wrestling,Bronze,2
Belgium,1932,Fencing,No medal,12
Brazil,1932,Athletics,No medal,22
Brazil,1932,Rowing,No medal,19
Brazil,1932,Shooting,No medal,6
Brazil,1932,Aquatics,No medal,12
Brazil,1932,Aquatics,No medal,8
Canada,1932,Athletics,Gold,1
Canada,1932,Athletics,Silver,6
Canada,1932,Athletics,Bronze,8
Canada,1932,Athletics,No medal,30
Canada,1932,Boxing,Gold,1
Canada,1932,Boxing,No medal,6
Canada,1932,Cycling,No medal,14
Canada,1932,Aquatics,No medal,4
Canada,1932,Fencing,No medal,11
Canada,1932,Rowing,Bronze,11
Canada,1932,Rowing,No medal,5
Canada,1932,Sailing,Silver,6
Canada,1932,Sailing,Bronze,4
Canada,1932,Sailing,No medal,3
Canada,1932,Aquatics,No medal,30
Canada,1932,Wrestling,Silver,1
Canada,1932,Wrestling,No medal,5
China,1932,Athletics,No medal,2
Colombia,1932,Athletics,No medal,1
Czechoslovakia,1932,Athletics,Bronze,1
Czechoslovakia,1932,Athletics,No medal,4
Czechoslovakia,1932,Weightlifting,Gold,1
Czechoslovakia,1932,Weightlifting,Silver,1
Czechoslovakia,1932,Wrestling,Silver,1
Czechoslovakia,1932,Wrestling,No medal,1
Denmark,1932,Athletics,No medal,2
Denmark,1932,Boxing,Bronze,1
Denmark,1932,Boxing,No medal,1
Denmark,1932,Cycling,Silver,3
Denmark,1932,Cycling,Bronze,2
Denmark,1932,Cycling,No medal,6
Denmark,1932,Aquatics,No medal,2
Denmark,1932,Fencing,No medal,23
Denmark,1932,Aquatics,Bronze,1
Denmark,1932,Aquatics,No medal,2
Denmark,1932,Weightlifting,Silver,1
Denmark,1932,Wrestling,Silver,1
Denmark,1932,Wrestling,No medal,4
Estonia,1932,Athletics,No medal,1
Estonia,1932,Wrestling,No medal,2
Finland,1932,Athletics,Gold,3
Finland,1932,Athletics,Silver,4
Finland,1932,Athletics,Bronze,4
Finland,1932,Athletics,No medal,14
Finland,1932,Boxing,Bronze,1
Finland,1932,Boxing,No medal,1
Finland,1932,Gymnastics,Silver,1
Finland,1932,Gymnastics,Bronze,8
Finland,1932,Gymnastics,No medal,18
Finland,1932,Aquatics,No medal,1
Finland,1932,Wrestling,Gold,2
Finland,1932,Wrestling,Silver,3
Finland,1932,Wrestling,Bronze,3
Finland,1932,Wrestling,No medal,3
France,1932,Athletics,Bronze,1
France,1932,Athletics,No medal,14
France,1932,Boxing,No medal,6
France,1932,Cycling,Gold,2
France,1932,Cycling,Silver,5
France,1932,Cycling,Bronze,1
France,1932,Cycling,No medal,7
France,1932,Aquatics,No medal,1
France,1932,Equestrian,Gold,4
France,1932,Equestrian,Silver,1
France,1932,Equestrian,No medal,1
France,1932,Fencing,Gold,12
France,1932,Fencing,Silver,1
France,1932,Fencing,No medal,8
France,1932,Modern Pentathlon,No medal,1
France,1932,Rowing,Bronze,3
France,1932,Rowing,No medal,2
France,1932,Sailing,Gold,1
France,1932,Sailing,No medal,2
France,1932,Aquatics,Silver,1
France,1932,Aquatics,No medal,6
France,1932,Weightlifting,Gold,3
France,1932,Weightlifting,No medal,2
France,1932,Wrestling,Gold,1
France,1932,Wrestling,Bronze,1
France,1932,Wrestling,No medal,4
Germany,1932,Athletics,Silver,5
Germany,1932,Athletics,Bronze,3
Germany,1932,Athletics,No medal,41
Germany,1932,Boxing,Silver,3
Germany,1932,Boxing,No medal,5
Germany,1932,Cycling,No medal,8
Germany,1932,Aquatics,No medal,2
Germany,1932,Fencing,No medal,3
Germany,1932,Modern Pentathlon,No medal,3
Germany,1932,Rowing,Gold,5
Germany,1932,Rowing,Silver,6
Germany,1932,Rowing,No medal,9
Germany,1932,Sailing,No medal,1
Germany,1932,Shooting,Silver,1
Germany,1932,Aquatics,No medal,2
Germany,1932,Aquatics,Silver,8
Germany,1932,Weightlifting,Gold,1
Germany,1932,Weightlifting,Silver,1
Germany,1932,Weightlifting,Bronze,1
Germany,1932,Weightlifting,No medal,1
Germany,1932,Wrestling,Gold,1
Germany,1932,Wrestling,Silver,2
Germany,1932,Wrestling,Bronze,1
Germany,1932,Wrestling,No medal,2
Great Britain,1932,Athletics,Gold,2
Great Britain,1932,Athletics,Silver,7
Great Britain,1932,Athletics,Bronze,5
Great Britain,1932,Athletics,No medal,24
Great Britain,1932,Boxing,No medal,3
Great Britain,1932,Cycling,Silver,2
Great Britain,1932,Cycling,Bronze,4
Great Britain,1932,Cycling,No medal,9
Great Britain,1932,Fencing,Silver,1
Great Britain,1932,Fencing,No medal,2
Great Britain,1932,Modern Pentathlon,No medal,3
Great Britain,1932,Rowing,Gold,6
Great Britain,1932,Rowing,No medal,10
Great Britain,1932,Sailing,Silver,2
Great Britain,1932,Sailing,No medal,1
Great Britain,1932,Aquatics,Bronze,5
Great Britain,1932,Aquatics,No medal,18
Great Britain,1932,Wrestling,No medal,2
Greece,1932,Athletics,No medal,12
Greece,1932,Boxing,No medal,1
Greece,1932,Wrestling,No medal,3
Haiti,1932,Athletics,No medal,2
Hungary,1932,Athletics,No medal,6
Hungary,1932,Boxing,Gold,1
Hungary,1932,Boxing,No medal,1
Hungary,1932,Cycling,No medal,1
Hungary,1932,Fencing,Gold,7
Hungary,1932,Fencing,Bronze,2
Hungary,1932,Fencing,No medal,4
Hungary,1932,Gymnastics,Gold,2
Hungary,1932,Gymnastics,Silver,2
Hungary,1932,Gymnastics,No medal,23
Hungary,1932,Modern Pentathlon,No medal,3
Hungary,1932,Shooting,Bronze,1
Hungary,1932,Shooting,No medal,2
Hungary,1932,Aquatics,Bronze,4
Hungary,1932,Aquatics,No medal,4
Hungary,1932,Aquatics,Gold,10
Hungary,1932,Wrestling,Silver,2
Hungary,1932,Wrestling,Bronze,1
Hungary,1932,Wrestling,No medal,4
India,1932,Athletics,No medal,9
India,1932,Field hockey,Gold,15
India,1932,Aquatics,No medal,2
Ireland,1932,Athletics,Gold,2
Ireland,1932,Athletics,No medal,3
Ireland,1932,Boxing,No medal,4
Italy,1932,Athletics,Gold,1
Italy,1932,Athletics,Bronze,5
Italy,1932,Athletics,No medal,16
Italy,1932,Boxing,Silver,2
Italy,1932,Boxing,No medal,6
Italy,1932,Cycling,Gold,8
Italy,1932,Cycling,Silver,1
Italy,1932,Cycling,Bronze,1
Italy,1932,Cycling,No medal,3
Italy,1932,Fencing,Gold,2
Italy,1932,Fencing,Silver,18
Italy,1932,Fencing,Bronze,2
Italy,1932,Fencing,No medal,4
Italy,1932,Gymnastics,Gold,8
Italy,1932,Gymnastics,Silver,1
Italy,1932,Gymnastics,Bronze,2
Italy,1932,Gymnastics,No medal,15
Italy,1932,Modern Pentathlon,No medal,3
Italy,1932,Rowing,Silver,14
Italy,1932,Rowing,Bronze,4
Italy,1932,Rowing,No medal,2
Italy,1932,Sailing,No medal,1
Italy,1932,Shooting,Gold,1
Italy,1932,Shooting,Bronze,1
Italy,1932,Shooting,No medal,4
Italy,1932,Aquatics,No medal,4
Italy,1932,Weightlifting,Silver,1
Italy,1932,Weightlifting,Bronze,1
Italy,1932,Weightlifting,No medal,2
Italy,1932,Wrestling,Gold,1
Italy,1932,Wrestling,Silver,1
Italy,1932,Wrestling,Bronze,2
Italy,1932,Wrestling,No medal,2
Japan,1932,Athletics,Gold,1
Japan,1932,Athletics,Silver,1
Japan,1932,Athletics,Bronze,2
Japan,1932,Athletics,No medal,47
Japan,1932,Boxing,No medal,5
Japan,1932,Aquatics,No medal,5
Japan,1932,Equestrian,Gold,1
Japan,1932,Equestrian,No medal,7
Japan,1932,Gymnastics,No medal,20
Japan,1932,Field hockey,Silver,11
Japan,1932,Rowing,No medal,14
Japan,1932,Aquatics,Gold,8
Japan,1932,Aquatics,Silver,5
Japan,1932,Aquatics,Bronze,2
Japan,1932,Aquatics,No medal,14
Japan,1932,Aquatics,No medal,8
Japan,1932,Wrestling,No medal,7
Latvia,1932,Athletics,Silver,1
Latvia,1932,Athletics,No medal,1
Mexico,1932,Athletics,No medal,30
Mexico,1932,Boxing,Silver,1
Mexico,1932,Boxing,No medal,5
Mexico,1932,Cycling,No medal,3
Mexico,1932,Aquatics,No medal,5
Mexico,1932,Equestrian,No medal,9
Mexico,1932,Fencing,No medal,22
Mexico,1932,Gymnastics,No medal,7
Mexico,1932,Modern Pentathlon,No medal,3
Mexico,1932,Shooting,Silver,1
Mexico,1932,Shooting,No medal,5
Mexico,1932,Aquatics,No medal,5
Mexico,1932,Wrestling,No medal,2
Netherlands,1932,Athletics,No medal,11
Netherlands,1932,Cycling,Gold,1
Netherlands,1932,Cycling,Silver,1
Netherlands,1932,Cycling,No medal,2
Netherlands,1932,Equestrian,Gold,1
Netherlands,1932,Equestrian,Silver,3
Netherlands,1932,Equestrian,No medal,2
Netherlands,1932,Fencing,No medal,4
Netherlands,1932,Modern Pentathlon,No medal,1
Netherlands,1932,Rowing,No medal,2
Netherlands,1932,Sailing,Silver,1
Netherlands,1932,Sailing,No medal,2
Netherlands,1932,Aquatics,Silver,5
Netherlands,1932,Aquatics,No medal,6
New Zealand,1932,Athletics,No medal,9
New Zealand,1932,Boxing,No medal,3
New Zealand,1932,Cycling,No medal,1
New Zealand,1932,Rowing,Silver,2
New Zealand,1932,Rowing,No medal,14
Norway,1932,Athletics,No medal,4
Norway,1932,Aquatics,No medal,1
Norway,1932,Wrestling,No medal,1
Philippines,1932,Athletics,Bronze,1
Philippines,1932,Boxing,Bronze,1
Philippines,1932,Boxing,No medal,3
Philippines,1932,Aquatics,Bronze,1
Philippines,1932,Aquatics,No medal,2
Poland,1932,Athletics,Gold,2
Poland,1932,Athletics,Bronze,1
Poland,1932,Athletics,No medal,6
Poland,1932,Fencing,Bronze,6
Poland,1932,Fencing,No medal,3
Poland,1932,Rowing,Silver,3
Poland,1932,Rowing,Bronze,7
Portugal,1932,Athletics,No medal,1
Portugal,1932,Modern Pentathlon,No medal,2
Portugal,1932,Shooting,No medal,5
South Africa,1932,Athletics,Bronze,1
South Africa,1932,Athletics,No medal,9
South Africa,1932,Boxing,Gold,2
South Africa,1932,Boxing,Bronze,1
South Africa,1932,Boxing,No medal,2
South Africa,1932,Sailing,No medal,3
South Africa,1932,Aquatics,Bronze,1
South Africa,1932,Aquatics,No medal,1
Spain,1932,Sailing,Bronze,1
Spain,1932,Shooting,No medal,6
Sweden,1932,Athletics,Silver,1
Sweden,1932,Athletics,No medal,12
Sweden,1932,Boxing,Silver,1
Sweden,1932,Boxing,Bronze,1
Sweden,1932,Boxing,No medal,1
Sweden,1932,Cycling,Bronze,4
Sweden,1932,Cycling,No medal,3
Sweden,1932,Aquatics,No medal,1
Sweden,1932,Equestrian,Silver,3
Sweden,1932,Equestrian,Bronze,2
Sweden,1932,Equestrian,No medal,13
Sweden,1932,Fencing,No medal,3
Sweden,1932,Modern Pentathlon,Gold,1
Sweden,1932,Modern Pentathlon,Silver,1
Sweden,1932,Modern Pentathlon,No medal,1
Sweden,1932,Sailing,Gold,4
Sweden,1932,Sailing,Bronze,2
Sweden,1932,Sailing,No medal,1
Sweden,1932,Shooting,Gold,1
Sweden,1932,Shooting,No medal,2
Sweden,1932,Aquatics,No medal,3
Sweden,1932,Wrestling,Gold,6
Sweden,1932,Wrestling,Silver,1
Sweden,1932,Wrestling,Bronze,3
Sweden,1932,Wrestling,No medal,4
Switzerland,1932,Athletics,No medal,4
Switzerland,1932,Fencing,No medal,2
Switzerland,1932,Gymnastics,Silver,1
United States,1932,Athletics,Gold,25
United States,1932,Athletics,Silver,13
United States,1932,Athletics,Bronze,6
United States,1932,Athletics,No medal,46
United States,1932,Boxing,Gold,2
United States,1932,Boxing,Bronze,3
United States,1932,Boxing,No medal,3
United States,1932,Cycling,No medal,15
United States,1932,Aquatics,Gold,4
United States,1932,Aquatics,Silver,4
United States,1932,Aquatics,Bronze,4
United States,1932,Equestrian,Gold,3
United States,1932,Equestrian,Silver,2
United States,1932,Equestrian,Bronze,4
United States,1932,Equestrian,No medal,9
United States,1932,Fencing,Silver,1
United States,1932,Fencing,Bronze,12
United States,1932,Fencing,No medal,17
United States,1932,Gymnastics,Gold,5
United States,1932,Gymnastics,Silver,10
United States,1932,Gymnastics,Bronze,5
United States,1932,Gymnastics,No medal,19
